8.665702479338843034e+01,1.274545454545454533e+02,9.458677685950412695e+00
9.433173076923077360e+01,1.274855769230769198e+02,9.841346153846153300e+00
6.050000000000000000e+01,1.420000000000000000e+02,1.200000000000000000e+01
7.369817073170732158e+01,1.384451219512195053e+02,1.037804878048780566e+01
8.536432637571157045e+01,1.361884882985452236e+02,6.851992409867172285e+00
9.534925373134328197e+01,1.360738805970149201e+02,7.392537313432836044e+00
1.069082969432314343e+02,1.384628820960698761e+02,1.085589519650654999e+01
1.202857142857142918e+02,1.416428571428571388e+02,1.200000000000000000e+01
5.072727272727272663e+01,1.493636363636363740e+02,1.200000000000000000e+01
5.879813664596273526e+01,1.496583850931677091e+02,1.140683229813664568e+01
7.171966527196653374e+01,1.480230125523012532e+02,1.074895397489539661e+01
8.231660231660231375e+01,1.472239382239382337e+02,1.008108108108108070e+01
9.822888888888888914e+01,1.470222222222222115e+02,1.041111111111111143e+01
1.099002557544757082e+02,1.483324808184143251e+02,1.117391304347826164e+01
1.219480519480519547e+02,1.493246753246753258e+02,1.144155844155844193e+01
1.300000000000000000e+02,1.480000000000000000e+02,1.200000000000000000e+01
6.020588235294117396e+01,1.575735294117646959e+02,1.172058823529411775e+01
6.796296296296296191e+01,1.576111111111111143e+02,1.174074074074074048e+01
1.128076923076923066e+02,1.574423076923076792e+02,1.175000000000000000e+01
1.201764705882352899e+02,1.573333333333333428e+02,1.172549019607843057e+01
4.712844036697247674e+01,8.786238532110091626e+01,2.451376146788990695e+01
5.871282051282051384e+01,8.592051282051282612e+01,2.395128205128204968e+01
6.732653061224489477e+01,8.537414965986394577e+01,2.440816326530612201e+01
1.131782945736434129e+02,8.620930232558139039e+01,2.455813953488372192e+01
1.219402985074626855e+02,8.634701492537313072e+01,2.427238805970149116e+01
1.329295774647887356e+02,8.808450704225352013e+01,2.457746478873239582e+01
4.705508474576271283e+01,9.489830508474575765e+01,2.426271186440677852e+01
5.794642857142856940e+01,9.518526785714286120e+01,2.373660714285714235e+01
6.698437500000000000e+01,9.398437500000000000e+01,2.391406250000000000e+01
1.132813852813852833e+02,9.490909090909090651e+01,2.383116883116883145e+01
